sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,grouping_v3,PCA_cluster,region
s0044,AP028666,AP302,5F,14LM_0009,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0045,AP028667,AP302,5G,14LM_0010,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0046,AP028668,AP302,5H,14LM_0011,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0047,AP028669,AP302,6A,14LM_0012,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,GRTL,LGL,GRT
s0048,AP028670,AP302,6B,Q1,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,CONL,CST,SNE
s0049,AP028671,AP302,6C,Q2,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,CONL,CST,SNE
s0050,AP028672,AP302,6D,Q3,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,CONL,CST,SNE
s0051,AP028673,AP302,6E,Q4,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,CONL,CST,SNE
s0052,AP028674,AP302,6F,P14,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,CONL,CST,SNE
s0053,AP028675,AP302,6G,P15,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,CONL,CST,SNE
s0054,AP028676,AP302,6H,P16,4478,Alosa,pseudoharengus,Connecticut,Pattagansett River,Pattagansett Lake,CONL,CST,SNE
s0055,AP028677,AP302,7A,R1,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,CONL,CST,SNE
s0056,AP028678,AP302,7B,R2,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,CONL,CST,SNE
s0057,AP028679,AP302,7C,R4,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,CONL,CST,SNE
s0058,AP028680,AP302,7D,R5,5618,Alosa,pseudoharengus,Connecticut,Connecticut,Rogers Lake,CONL,CST,SNE
