sample,NMFS_DNA_ID,BOX_ID,BOX_POSITION,SAMPLE_ID,BATCH_ID,GENUS,SPECIES,STATE_F,WATERSHED,WATER_NAME,wn_abbr,region,ndata,nfiltered,nmiss,fmiss,nsites,depth
s0035,AP028654,AP302,4B,14LO_0008,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2585559,0.217554,11881257,3.1731
s0036,AP028655,AP302,4C,14LO_0009,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2352076,0.197908,11880881,3.40393
s0037,AP028656,AP302,4D,14LO_0010,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2248192,0.189167,11880666,3.38182
s0038,AP028657,AP302,4E,14LO_0011,4478,Alosa,pseudoharengus,New York,Great Lakes,Lake Ontario,ONT,GRT,11884669,0,2435196,0.204902,11880307,3.14388
s0039,AP028659,AP302,4G,14LM_0002,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2722038,0.229038,11880997,2.89494
s0040,AP028662,AP302,5B,14LM_0005,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2336535,0.196601,11880329,3.27432
s0041,AP028663,AP302,5C,14LM_0006,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2770689,0.233131,11880981,2.9225
s0042,AP028664,AP302,5D,14LM_0007,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2450311,0.206174,11880775,3.10697
s0043,AP028665,AP302,5E,14LM_0008,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2193195,0.18454,11880227,3.3972
s0044,AP028666,AP302,5F,14LM_0009,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,1046013,0.0880136,11880851,7.65081
s0045,AP028667,AP302,5G,14LM_0010,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2236770,0.188206,11881460,3.91444
s0046,AP028668,AP302,5H,14LM_0011,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,2029401,0.170758,11880246,3.9177399999999998
s0047,AP028669,AP302,6A,14LM_0012,4478,Alosa,pseudoharengus,Michigan,Great Lakes,Lake Michigan,MICH,GRT,11884669,0,1886717,0.158752,11879766,3.83222
s0048,AP028670,AP302,6B,Q1,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,QUON,SNE,11884669,0,2132812,0.179459,11880344,3.15795
s0049,AP028671,AP302,6C,Q2,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,QUON,SNE,11884669,0,2309420,0.194319,11881001,3.24035
s0050,AP028672,AP302,6D,Q3,4478,Alosa,pseudoharengus,Connecticut,West River,Quonnipaug Lake,QUON,SNE,11884669,0,1612362,0.135667,11879774,4.01622
